Epoch,Train Loss,Val Loss
1,0.08616484580532414,1.801445484161377
2,0.060223008509419744,0.7933511137962341
3,0.059517697603696434,1.064537525177002
4,0.057326384367624994,1.2124730348587036
5,0.0575250700997276,1.3308392763137817
6,0.05636255264027568,1.6694644689559937
7,0.05724767572733981,1.1253280639648438
8,0.05656291295767005,1.2489289045333862
9,0.055322000799133096,1.3740042448043823
10,0.051353266667283605,0.92771315574646
11,0.05052541592216585,1.0497937202453613
12,0.05024926223501097,0.9654006361961365
13,0.05017665547958131,0.9731292128562927
14,0.04999184920583502,0.9824049472808838
15,0.049965384578244995,1.1066964864730835
16,0.0497255856567881,0.9235305190086365
17,0.04924239374760873,0.99811190366745
18,0.04918210909967456,1.017248511314392
